variable_name	code_list	definition
mdrxdr_bdq_used	0=No; 1=Yes; 3=Don't know	Had any TB patients been started on Bedaquiline for the treatment of MDR-/XDR-TB by the end of reporting year as part of expanded access, compassionate use or under normal programmatic use, whether in the public or private sector?
mdrxdr_dlm_tx		Number of patients started on Delamanid during the reporting year
mdrxdr_dlm_used	0=No; 1=Yes; 3=Don't know	Had any TB patients been started on Delamanid for the treatment of MDR-/XDR-TB by the end of reporting as part of expanded access, compassionate use or under normal programmatic use, whether in the public or private sector?
new_clindx		New pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment).  It also includes pulmonary clinically diagnosed cases with unknown previous TB treatment history.
new_ep		New extrapulmonary cases (bacteriologically confirmed or clinically diagnosed). As of 2013 this also includes extrapulmonary cases with unknown previous TB treatment history.
new_ep_f014		New extrapulmonary cases: females aged 0-14 years (not used after 2012)
new_ep_f04		New extrapulmonary cases: females aged 0-4 years (not used after 2012)
new_ep_f1524		New extrapulmonary cases: females aged 15-24 years (not used after 2012)
new_ep_f15plus		New extrapulmonary cases: females aged 15 years and over (not used after 2012)
new_ep_f2534		New extrapulmonary cases: females aged 25-34 years (not used after 2012)
new_ep_f3544		New extrapulmonary cases: females aged 35-44 years (not used after 2012)
new_ep_f4554		New extrapulmonary cases: females aged 45-54 years (not used after 2012)
new_ep_f514		New extrapulmonary cases: females aged 5-14 years (not used after 2012)
new_ep_f5564		New extrapulmonary cases: females aged 55-64 years (not used after 2012)
new_ep_f65		New extrapulmonary cases: females aged 65 years and over (not used after 2012)
new_ep_fu		New extrapulmonary cases: females age unknown (not used after 2012)
new_ep_m014		New extrapulmonary cases: males aged 0-14 years (not used after 2012)
new_ep_m04		New extrapulmonary cases: males aged 0-4 years (not used after 2012)
new_ep_m1524		New extrapulmonary cases: males aged 15-24 years (not used after 2012)
new_ep_m15plus		New extrapulmonary cases: males aged 15 years and over (not used after 2012)
new_ep_m2534		New extrapulmonary cases: males aged 25-34 years (not used after 2012)
new_ep_m3544		New extrapulmonary cases: males aged 35-44 years (not used after 2012)
new_ep_m4554		New extrapulmonary cases: males aged 45-54 years (not used after 2012)
new_ep_m514		New extrapulmonary cases: males aged 5-14 years (not used after 2012)
new_ep_m5564		New extrapulmonary cases: males aged 55-64 years (not used after 2012)
new_ep_m65		New extrapulmonary cases: males aged 65 years and over (not used after 2012)
new_ep_mu		New extrapulmonary cases: males age unknown (not used after 2012)
new_ep_sexunk014		New extrapulmonary cases: sex unknown, aged 0-14 years (not used after 2012)
new_ep_sexunk04		New extrapulmonary cases: sex unknown, aged 0-4 years (not used after 2012)
new_ep_sexunk15plus		New extrapulmonary cases: sex unknown, aged 15 years and over (not used after 2012)
new_ep_sexunk514		New extrapulmonary cases: sex unknown, aged 5-14 years (not used after 2012)
new_ep_sexunkageunk		New extrapulmonary cases: sex unknown, age unknown (not used after 2012)
new_labconf		New pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF). As of 2013 this also includes pulmonary bacteriologically confirmed cases with unknown previous TB treatment history.
new_oth		Other new cases (not used after 2012)
new_sn		New pulmonary smear-negative cases (not used after 2012)
new_sn_f014		New pulmonary smear negative/smear unknown/smear not done cases: females aged 0-14 years (not used after 2012)
new_sn_f04		New pulmonary smear negative/smear unknown/smear not done cases: females aged 0-4 years (not used after 2012)
new_sn_f1524		New pulmonary smear negative/smear unknown/smear not done cases: females aged 15-24 years (not used after 2012)
new_sn_f15plus		New pulmonary smear negative/smear unknown/smear not done cases: females aged 15 years and over (not used after 2012)
new_sn_f2534		New pulmonary smear negative/smear unknown/smear not done cases: females aged 25-34 years (not used after 2012)
new_sn_f3544		New pulmonary smear negative/smear unknown/smear not done cases: females aged 35-44 years (not used after 2012)
new_sn_f4554		New pulmonary smear negative/smear unknown/smear not done cases: females aged 45-54 years (not used after 2012)
new_sn_f514		New pulmonary smear negative/smear unknown/smear not done cases: females aged 5-14 years (not used after 2012)
new_sn_f5564		New pulmonary smear negative/smear unknown/smear not done cases: females aged 55-64 years (not used after 2012)
new_sn_f65		New pulmonary smear negative/smear unknown/smear not done cases: females aged 65 years and over (not used after 2012)
new_sn_fu		New pulmonary smear negative/smear unknown/smear not done cases: females age unknown (not used after 2012)
new_sn_m014		New pulmonary smear negative/smear unknown/smear not done cases: males aged 0-14 years (not used after 2012)
new_sn_m04		New pulmonary smear negative/smear unknown/smear not done cases: males aged 0-4 years (not used after 2012)
new_sn_m1524		New pulmonary smear negative/smear unknown/smear not done cases: males aged 15-24 years (not used after 2012)
new_sn_m15plus		New pulmonary smear negative/smear unknown/smear not done cases: males aged 15 years and above (not used after 2012)
new_sn_m2534		New pulmonary smear negative/smear unknown/smear not done cases: males aged 25-34 years (not used after 2012)
new_sn_m3544		New pulmonary smear negative/smear unknown/smear not done cases: males aged 35-44 years (not used after 2012)
new_sn_m4554		New pulmonary smear negative/smear unknown/smear not done cases: males aged 45-54 years (not used after 2012)
new_sn_m514		New pulmonary smear negative/smear unknown/smear not done cases: males aged 5-14 years (not used after 2012)
new_sn_m5564		New pulmonary smear negative/smear unknown/smear not done cases: males aged 55-64 years (not used after 2012)
new_sn_m65		New pulmonary smear negative/smear unknown/smear not done cases: males aged 65 years and over (not used after 2012)
new_sn_mu		New pulmonary smear negative/smear unknown/smear not done cases: males age unknown (not used after 2012)
new_sn_sexunk014		New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 0-14 years (not used after 2012)
new_sn_sexunk04		New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 0-4 years (not used after 2012)
new_sn_sexunk15plus		New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 15 years and over (not used after 2012)
new_sn_sexunk514		New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 5-14 years (not used after 2012)
new_sn_sexunkageunk		New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, age unknown (not used after 2012)
new_sp		New pulmonary smear-positive cases (not used after 2012)
new_sp_f014		New pulmonary smear positive cases: females aged 0-14 years (not used after 2012)
new_sp_f04		New pulmonary smear positive cases: females aged 0-4 years (not used after 2012)
new_sp_f1524		New pulmonary smear positive cases: females aged 15-24 years (not used after 2012)
new_sp_f2534		New pulmonary smear positive cases: females aged 25-34 years (not used after 2012)
new_sp_f3544		New pulmonary smear positive cases: females aged 35-44 years (not used after 2012)
new_sp_f4554		New pulmonary smear positive cases: females aged 45-54 years (not used after 2012)
new_sp_f514		New pulmonary smear positive cases: females aged 5-14 years (not used after 2012)
new_sp_f5564		New pulmonary smear positive cases: females aged 55-64 years (not used after 2012)
new_sp_f65		New pulmonary smear positive cases: females aged 65 and over (not used after 2012)
new_sp_fu		New pulmonary smear positive cases: females age unknown (not used after 2012)
new_sp_m014		New pulmonary smear positive cases: males aged 0-14 years (not used after 2012)
new_sp_m04		New pulmonary smear positive cases: males aged 0-4 years (not used after 2012)
new_sp_m1524		New pulmonary smear positive cases: males aged 15-24 years (not used after 2012)
new_sp_m2534		New pulmonary smear positive cases: males aged 25-34 years (not used after 2012)
new_sp_m3544		New pulmonary smear positive cases: males aged 35-44 years (not used after 2012)
new_sp_m4554		New pulmonary smear positive cases: males aged 45-54 years (not used after 2012)
new_sp_m514		New pulmonary smear positive cases: males aged 5-14 years (not used after 2012)
new_sp_m5564		New pulmonary smear positive cases: males aged 55-64 years (not used after 2012)
new_sp_m65		New pulmonary smear positive cases: males aged 65 years and over (not used after 2012)
new_sp_mu		New pulmonary smear positive cases: males age unknown (not used after 2012)
new_su		New pulmonary smear unknown/not done cases
newinc_rdx		(if rdx_data_available=60) Number of new and relapse cases notified and tested using a WHO-recommended rapid diagnostic (for example Xpert MTB/RIF) at the time of TB diagnosis (regardless of test result)
newrel_art		HIV-positive new and relapse (or all, if newrel_tbhiv_flg = 0 and year > 2015) TB patients started or continued on antiretroviral therapy
newrel_f014		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 0-14 years
newrel_f04		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 0-4 years
newrel_f1014		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 10-14 years
newrel_f1519		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15-19 years
newrel_f1524		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15-24 years
newrel_f15plus		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15 years and over
newrel_f2024		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 20-24 years
newrel_f2534		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 25-34 years
newrel_f3544		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 35-44 years
newrel_f4554		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 45-54 years
newrel_f514		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 5-14 years
newrel_f5564		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 55-64 years
newrel_f59		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 5-9 years
newrel_f65		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 65 years and over
newrel_fu		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females age unknown
newrel_hivpos		Number of new and relapse  (or all, if newrel_tbhiv_flg = 0 and year > 2015) TB patients recorded as HIV-positive
newrel_hivtest		Number of new and relapse (or all, if newrel_tbhiv_flg = 0 and year > 2015) TB patients tested for HIV at the time of TB diagnosis or with known HIV status at the time of TB diagnosis
newrel_m014		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 0-14 years
newrel_m04		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 0-4 years
newrel_m1014		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 10-14 years
newrel_m1519		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15-19 years
newrel_m1524		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15-24 years
newrel_m15plus		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15 years and over
newrel_m2024		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 20-24 years
newrel_m2534		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 25-34 years
newrel_m3544		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 35-44 years
newrel_m4554		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 45-54 years
newrel_m514		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 5-14 years
newrel_m5564		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 55-64 years
newrel_m59		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 5-9 years
newrel_m65		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 65 years and over
newrel_mu		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males age unknown
newrel_sexunk014		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 0-14 years
newrel_sexunk04		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 0-4 years
newrel_sexunk15plus		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 15 years and over
newrel_sexunk514		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 5-14 years
newrel_sexunkageunk		New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, age unknown
newrel_tbhiv_flg	0=No; 1=Yes.	Are data on HIV testing, HIV positivity and provision of antiretroviral therapy (ART) restricted to new and relapse TB cases only?
newret_oth		Other cases not included in new and re-treatment case numbers
notif_foreign		New and re-treatment TB cases among foreign-born individuals
rdst_new		Number of TB cases (pulmonary or extrapulmonary) tested for susceptibility to rifampicin using phenotypic DST or WHO-recommended rapid molecular diagnostics (e.g. Xpert MTB/RIF), before or after starting treatment: new cases
rdst_ret		Number of TB cases (pulmonary or extrapulmonary) tested for susceptibility to rifampicin using phenotypic DST or WHO-recommended rapid molecular diagnostics (e.g. Xpert MTB/RIF), before or after starting treatment: previously treated cases
rdst_unk		Number of TB cases (pulmonary or extrapulmonary) tested for susceptibility to rifampicin using phenotypic DST or WHO-recommended rapid molecular diagnostics (e.g. Xpert MTB/RIF), before or after starting treatment: cases with unknown previous TB treatment history
rdx_data_available	0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population	Are data available on the number of new and relapse cases tested using a WHO-recommended rapid diagnostic during the reporting year?
rdxsurvey_newinc		(if rdx_data_available=61) Number of new and relapse cases whose medical records or treatment cards were included in the survey
rdxsurvey_newinc_rdx		(if rdx_data_available=61) Among the cases reported in rdxsurvey_newinc the number tested using a WHO-recommended rapid diagnostic (such as Xpert MTB/RIF) at the time of TB diagnosis (regardless of test result)
rel_in_agesex_flg	0=No; 1=Yes.	Are all relapse cases included with new cases in the disaggregations by age and sex?
ret_nrel		Previously treated patients, excluding relapse cases (pulmonary or extrapulmonary, bacteriologically confirmed or clinically diagnosed)
ret_oth		Other re-treatment cases
ret_rel		Relapse cases
ret_rel_clindx		Relapse pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment).
ret_rel_ep		Relapse extrapulmonary cases (bacteriologically confirmed or clinically diagnosed)
ret_rel_labconf		Relapse  pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF).
ret_tad		Treatment after default cases
ret_taf		Treatment after failure cases
rr_sldst		Number of laboratory-confirmed RR-TB or MDR-TB cases tested for susceptibility to second-line drugs (fluoroquinolones and second-line injectable agents)
rrmdr_014_tx		The number of children aged 0-14 years among patients who started treatment for MDR-TB (regardless of whether rifampicin resistance was confirmed)
unconf_mdr_tx		Number of MDR-TB (not laboratory-confirmed) patients who started treatment for MDR-TB
unconf_rrmdr_tx		Number of patients (not laboratory-confirmed as having rifampicin-resistant (RR-TB) or multidrg-resistant TB (MDR-TB)) who started treatment for MDR-TB
c_new_snep_tsr		Treatment success rate for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases, percent  (not used after 2011)
c_new_sp_tsr		Treatment success rate for new pulmonary smear-positive (and/or culture-positive) cases, percent  (not used after 2011)
c_new_tsr		Treatment success rate for all new cases (including relapse cases if rel_with_new_flg = 1), percent
c_newrel_014_tsr		Treatment success rate for new and relapse cases in children aged 0-14 years, percent
c_ret_tsr		Treatment success rate for re-treatment cases (excluding relapse cases if rel_with_new_flg = 1), percent
c_tbhiv_tsr		Treatment success rate for HIV-positive TB cases, percent
hiv_new_snep_cmplt		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: completed  (not used after 2011)
hiv_new_snep_coh		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: cohort size  (not used after 2011)
hiv_new_snep_def		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: defaulted  (not used after 2011)
hiv_new_snep_died		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: died  (not used after 2011)
hiv_new_snep_fail		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: failed (not used after 2011)
hiv_new_sp_cmplt		Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: completed (not used after 2011)
hiv_new_sp_coh		Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: cohort size (not used after 2011)
hiv_new_sp_cur		Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: cured (not used after 2011)
hiv_new_sp_def		Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: defaulted (not used after 2011)
hiv_new_sp_died		Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: died (not used after 2011)
hiv_new_sp_fail		Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: failed (not used after 2011)
hiv_ret_cmplt		Outcomes for re-treatment HIV-positive TB cases: completed (not used after 2011)
hiv_ret_coh		Outcomes for re-treatment HIV-positive TB cases: cohort size (not used after 2011)
hiv_ret_cur		Outcomes for re-treatment HIV-positive TB cases: cured (not used after 2011)
hiv_ret_def		Outcomes for re-treatment HIV-positive TB cases: defaulted (not used after 2011)
hiv_ret_died		Outcomes for re-treatment HIV-positive TB cases: died (not used after 2011)
hiv_ret_fail		Outcomes for re-treatment HIV-positive TB cases: failed (not used after 2011)
mdr_coh		Outcomes for MDR-TB cases: cohort size
mdr_died		Outcomes for MDR-TB cases: died
mdr_fail		Outcomes for MDR-TB cases: treatment failed
mdr_lost		Outcomes for MDR-TB cases: lost to follow-up
mdr_succ		Outcomes for MDR-TB cases: treatment success (Cured or treatment completed)
new_snep_cmplt		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: completed (not used after 2011)
new_snep_coh		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: cohort size (not used after 2011)
new_snep_def		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: defauled (not used after 2011)
new_snep_died		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: died (not used after 2011)
new_snep_fail		Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: failed (not used after 2011)
new_sp_cmplt		Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: completed (not used after 2011)
new_sp_coh		Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: cohort size (not used after 2011)
new_sp_cur		Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: cured (not used after 2011)
new_sp_def		Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: defaulted (not used after 2011)
new_sp_died		Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: died (not used after 2011)
new_sp_fail		Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: failed (not used after 2011)
newrel_014_coh		Outcomes for new and relapse cases in children aged 0-14 years: cohort size
newrel_014_died		Outcomes for new and relapse cases in children aged 0-14 years: died
newrel_014_fail		Outcomes for new and relapse cases in children aged 0-14 years: treatment failed
newrel_014_lost		Outcomes for new and relapse cases in children aged 0-14 years: lost to follow-up
newrel_014_succ		Outcomes for new and relapse cases in children aged 0-14 years: treatment success
newrel_coh		Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): cohort size
newrel_died		Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): died
newrel_fail		Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): treatment failed
newrel_lost		Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): lost to follow-up
newrel_succ		Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): treatment success (cured or treatment completed)
rel_with_new_flg	0=No; 1=Yes;	Are outcomes of relapse cases included in the newrel outcome variables?
rep_meth	100=smear;101=culture;102=smear or culture;	Method of confirmation used to report treatment outcomes of pulmonary cases  (not used after 2011)
ret_cmplt		Outcomes for re-treatment cases: completed  (not used after 2011)
ret_coh		Outcomes for re-treatment cases: cohort size (not used after 2011)
ret_cur		Outcomes for re-treatment cases: cured (not used after 2011)
ret_def		Outcomes for re-treatment cases: defaulted (not used after 2011)
ret_died		Outcomes for re-treatment cases: died (not used after 2011)
ret_fail		Outcomes for re-treatment cases: failed (not used after 2011)
ret_nrel_coh		Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): cohort size
ret_nrel_died		Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): died
ret_nrel_fail		Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): treatment failed
ret_nrel_lost		Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): lost to follow-up
ret_nrel_succ		Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): treatment success (cured or treatment completed)
tbhiv_coh		Outcomes for HIV-positive TB cases, all types: cohort size
tbhiv_died		Outcomes for HIV-positive TB cases, all types: died
tbhiv_fail		Outcomes for HIV-positive TB cases, all types: treatment failed
tbhiv_lost		Outcomes for HIV-positive TB cases, all types: lost to follow-up
tbhiv_succ		Outcomes for HIV-positive TB cases, all types: treatment success (cured or treatment completed)
xdr_coh		Outcomes for XDR-TB cases: cohort size
xdr_died		Outcomes for XDR-TB cases: number died
xdr_fail		Outcomes for XDR-TB cases: number whose treatment failed
xdr_lost		Outcomes for XDR-TB cases: lost to follow-up
xdr_succ		Outcomes for XDR-TB cases: treatment success (Cured or treatment completed)
caseb_err_nat	0=No; 42=Yes (all TB patients in the country); 43=Yes (but only for MDR-TB patients countrywide)	Did the National Treatment Programme keep (or have access to) an electronic case-based database for TB patients on treatment at national level
digital_adherence_support	3=don't know; 210=Not used by any treatment centre; 211=Used only by public sector treatment centres; 212=Used only by private sector treatment centres; 213=Used by public and private  sector treatment centres	Did any treatment centre use digital technologies such as short text messaging via mobile phones, video-communication or electronic medication monitors to support TB medication adherence in patients at risk of interrupting treatment?
free_dx_followup	0=No; 1=yes	Does national policy indicate that TB diagnostic and follow-up tests provided through the national TB programme are free of charge or that fees can be fully reimbursed through health insurance, or both, for all people with signs or symptoms of TB?
hcw_tb_infected		Number of health-care workers who had TB
hcw_tot		Total number of health-care workers who were working in the country in the public and private sector
lf_urine_lam	0=No; 1=yes	Does national policy and the diagnostic algorithm indicate the use of the lateral flow urine lipoarabinomannan assay (LF-LAM) to assist in the detection of TB in people living with HIV?
mdrxdr_fail_morphine		Number of patients who started second-line TB treatment 3 years previously whose treatment failed and who received oral morphine by prescription to treat pain or terminal dyspnoea
priv_new_dx		Number of new cases of TB diagnosed according to National Treatment Programme (NTP)  guidelines by private providers
pub_new_dx		Number of new cases of TB diagnosed according to National Treatment Programme (NTP)  guidelines by non-NTP public providers
universal_dst	0=No; 1=yes	Does national policy and the diagnostic algorithm indicate there is universal access to drug susceptibility testing?
wrd_initial_test	0=No; 1=yes	Does national policy and the diagnostic algorithm indicate a WHO-recommended rapid diagnostic as the initial diagnostic test for all people with signs or symptoms of TB?
ep_spec_available	0=No; 1=Yes; 2=Not applicable	Are data available on the number of bacteriologically confirmed extrapulmonary TB cases with test results for the speciation of the Mycobacterium tuberculosis complex in the reporting year?
newrel_ep_labconf		(if ep_spec_available=1) Among the new and relapse extrapulmonary TB cases reported in new_ep and ret_rel_ep, the number of cases that were bacteriologically confirmed, i.e. by culture or molecular technologies
newrel_ep_mbovis		(if ep_spec_available=1) Among extrapulmonary TB cases with test results for speciation reported in newrel_ep_spec, number of cases identified as having Mycobacterium bovis
newrel_ep_spec		(if ep_spec_available=1) Among bacteriologically confirmed extrapulmonary TB cases reported in newrel_ep_labconf, number of cases with test results for the speciation of the Mycobacterium tuberculosis complex
newrel_pulm_mbovis		(if pulm_spec_available=1) Among pulmonary cases with test results for speciation reported in newrel_pulm_spec, number of cases identified as having Mycobacterium bovis
newrel_pulm_spec		(if pulm_spec_available=1) Among bacteriologically confirmed new and relapse pulmonary TB cases, number of cases with test results for the speciation of the Mycobacterium tuberculosis complex
pulm_spec_available	0=No; 1=Yes; 2=Not applicable	Are data available on the number of bacteriologically confirmed pulmonary TB cases with test results for the speciation of the Mycobacterium tuberculosis complex in the reporting year?
